,K55 CNC,Machine_Type,Total_Dim,Shift1_Sample_Taken,Shift1_OK_Count,Shift1_NG_Count,Shift1_Yield%,Shift1_NG_List,Shift2_Sample_Taken,Shift2_OK_Count,Shift2_NG_Count,Shift2_Yield%,Shift2_NG_List,Shift3_Sample_Taken,Shift3_OK_Count,Shift3_NG_Count,Shift3_Yield%,Shift3_NG_List
96,BM1L1C1F39,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
97,BM1L1C1F4,BU,33,45.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
98,BM1L1C1F4,LR,16,39.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
99,BM1L1C1F4,RR,7,21.0,0.0,21.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
100,BM1L1C1F40,BU,33,19.0,17.0,2.0,89.5%,"('FAI0358', 'P66')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
101,BM1L1C1F40,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
102,BM1L1C1F40,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
103,BM1L1C1F41,BU,33,15.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
104,BM1L1C1F41,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
105,BM1L1C1F41,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
106,BM1L1C1F42,BU,33,15.0,14.0,1.0,93.3%,"('P66',)",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
107,BM1L1C1F42,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
108,BM1L1C1F42,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
109,BM1L1C1F44,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
110,BM1L1C1F44,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
111,BM1L1C1F5,BU,33,30.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
112,BM1L1C1F5,LR,16,39.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
