,K55 CNC,Machine_Type,Total_Dim_x,Sample_Taken,OK_Count,Yield%_y,Shift1_Sample_Taken,Shift1_DIM_Inspected,Shift1_OK_Count,Shift1_NG_Count,Shift1_NG_List,Shift2_Sample_Taken,Shift2_DIM_Inspected,Shift2_OK_Count,Shift2_NG_Count,Shift2_NG_List,Shift3_Sample_Taken,Shift3_DIM_Inspected,Shift3_OK_Count,Shift3_NG_Count,Shift3_NG_List
1048,BM1L4C1F38,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1049,BM1L4C1F39,BU,33,15,15.0,100.0%,15.0,11.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1050,BM1L4C1F39,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1051,BM1L4C1F39,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1052,BM1L4C1F4,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
1054,BM1L4C1F4,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
1056,BM1L4C1F4,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1058,BM1L4C1F43,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
1061,BM1L4C1F43,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0
1063,BM1L4C1F43,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1066,BM1L4C1F44,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
1069,BM1L4C1F44,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
1072,BM1L4C1F44,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1075,BM1L4C1F45,BU,33,64,60.0,93.8%,64.0,12.0,60.0,4.0,"('P66', 'P66')",64.0,11.0,60.0,4.0,"('P66',)",64.0,11.0,60.0,4.0,"('P66',)"
1078,BM1L4C1F45,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,0.0,0.0,0.0,0.0,0,39.0,12.0,39.0,0.0,0
1080,BM1L4C1F45,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1083,BM1L4C1F46,BU,33,15,15.0,100.0%,15.0,11.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1084,BM1L4C1F46,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1085,BM1L4C1F46,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1086,BM1L4C1F47,BU,33,15,15.0,100.0%,15.0,11.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1087,BM1L4C1F47,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1088,BM1L4C1F47,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1089,BM1L4C1F5,BU,33,60,57.0,95.0%,60.0,11.0,57.0,3.0,"('P64', 'FAI0358', 'FAI0367')",60.0,11.0,57.0,3.0,0,60.0,11.0,57.0,3.0,0
1092,BM1L4C1F5,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
1095,BM1L4C1F5,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1098,BM1L4C1F6,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
1100,BM1L4C1F6,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,0.0,0.0,0.0,0.0,0,39.0,12.0,39.0,0.0,0
1102,BM1L4C1F6,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1104,BM1L4C1F7,BU,33,30,29.0,96.7%,30.0,11.0,29.0,1.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,29.0,1.0,"('P66',)"
1106,BM1L4C1F7,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
1108,BM1L4C1F7,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1110,BM1L4C1F8,BU,33,34,34.0,100.0%,34.0,11.0,34.0,0.0,0,0.0,0.0,0.0,0.0,0,34.0,12.0,34.0,0.0,0
1112,BM1L4C1F8,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
1115,BM1L4C1F8,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1118,BM1L4C1F9,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
1120,BM1L4C1F9,LR,16,26,25.0,96.2%,26.0,12.0,25.0,1.0,"('M130_1',)",0.0,0.0,0.0,0.0,0,26.0,12.0,25.0,1.0,0
1122,BM1L4C1F9,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1124,BM2L1C1F01,BU,33,93,93.0,100.0%,93.0,12.0,93.0,0.0,0,93.0,13.0,93.0,0.0,0,93.0,11.0,93.0,0.0,0
1127,BM2L1C1F01,LR,16,71,70.0,98.6%,71.0,14.0,70.0,1.0,"('FAI0288',)",71.0,14.0,70.0,1.0,0,71.0,12.0,70.0,1.0,0
1130,BM2L1C1F01,RR,7,35,0.0,0.0%,35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1133,BM2L1C1F02,BU,33,118,114.0,96.6%,118.0,14.0,114.0,4.0,"('P63_2', 'P63_1', 'P63_3', 'P63_4')",118.0,13.0,114.0,4.0,0,118.0,11.0,114.0,4.0,0
1136,BM2L1C1F02,LR,16,97,94.0,96.9%,97.0,14.0,94.0,3.0,"('M130_2',)",97.0,14.0,94.0,3.0,"('FAI0780',)",97.0,12.0,94.0,3.0,"('FAI0288',)"
1139,BM2L1C1F02,RR,7,35,0.0,0.0%,35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1142,BM2L1C1F03,BU,33,78,78.0,100.0%,78.0,12.0,78.0,0.0,0,78.0,13.0,78.0,0.0,0,0.0,0.0,0.0,0.0,0
1144,BM2L1C1F03,LR,16,56,56.0,100.0%,56.0,14.0,56.0,0.0,0,56.0,14.0,56.0,0.0,0,0.0,0.0,0.0,0.0,0
1146,BM2L1C1F03,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0
1148,BM2L1C1F04,BU,33,167,165.0,98.8%,167.0,14.0,165.0,2.0,"('P63_3', 'P63_4')",167.0,13.0,165.0,2.0,0,167.0,11.0,165.0,2.0,0
1151,BM2L1C1F04,LR,16,71,70.0,98.6%,71.0,14.0,70.0,1.0,"('M130_2',)",71.0,14.0,70.0,1.0,0,71.0,12.0,70.0,1.0,0
1154,BM2L1C1F04,RR,7,35,0.0,0.0%,35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1157,BM2L1C1F05,BU,33,114,113.0,99.1%,114.0,13.0,113.0,1.0,0,114.0,11.0,113.0,1.0,"('P66',)",114.0,13.0,113.0,1.0,0
1160,BM2L1C1F05,LR,16,82,80.0,97.6%,82.0,14.0,80.0,2.0,0,82.0,12.0,80.0,2.0,0,82.0,14.0,80.0,2.0,"('FAI0288', 'FAI0288')"
1163,BM2L1C1F05,RR,7,49,0.0,0.0%,49.0,4.0,0.0,49.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",49.0,4.0,0.0,49.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",49.0,4.0,0.0,49.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1166,BM2L1C1F06,BU,33,102,102.0,100.0%,102.0,13.0,102.0,0.0,0,0.0,0.0,0.0,0.0,0,102.0,11.0,102.0,0.0,0
1168,BM2L1C1F06,LR,16,80,79.0,98.8%,80.0,14.0,79.0,1.0,0,0.0,0.0,0.0,0.0,0,80.0,12.0,79.0,1.0,"('FAI0780',)"
1170,BM2L1C1F06,RR,7,42,0.0,0.0%,42.0,4.0,0.0,42.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,42.0,4.0,0.0,42.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1172,BM2L1C1F07,BU,33,42,42.0,100.0%,42.0,13.0,42.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1173,BM2L1C1F07,LR,16,28,28.0,100.0%,28.0,14.0,28.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1174,BM2L1C1F07,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1175,BM2L1C1F08,BU,33,51,50.0,98.0%,51.0,12.0,50.0,1.0,"('P66',)",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1176,BM2L1C1F08,LR,16,28,28.0,100.0%,28.0,14.0,28.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1177,BM2L1C1F08,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1178,BM2L1C1F09,BU,33,117,117.0,100.0%,117.0,12.0,117.0,0.0,0,117.0,11.0,117.0,0.0,0,117.0,11.0,117.0,0.0,0
1181,BM2L1C1F09,LR,16,108,108.0,100.0%,108.0,14.0,108.0,0.0,0,108.0,12.0,108.0,0.0,0,108.0,12.0,108.0,0.0,0
1184,BM2L1C1F09,RR,7,35,0.0,0.0%,35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1187,BM2L1C1F10,BU,33,118,116.0,98.3%,118.0,14.0,116.0,2.0,"('P63_3', 'P63_4')",0.0,0.0,0.0,0.0,0,118.0,11.0,116.0,2.0,0
1189,BM2L1C1F10,LR,16,82,79.0,96.3%,82.0,14.0,79.0,3.0,"('M130_2', 'FAI0276', 'FAI0780')",0.0,0.0,0.0,0.0,0,82.0,12.0,79.0,3.0,0
1191,BM2L1C1F10,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1193,BM2L1C1F11,BU,33,133,130.0,97.7%,133.0,11.0,130.0,3.0,0,133.0,13.0,130.0,3.0,0,133.0,14.0,130.0,3.0,"('P63_2', 'P63_3', 'P63_4')"
1196,BM2L1C1F11,LR,16,79,77.0,97.5%,79.0,14.0,77.0,2.0,0,79.0,14.0,77.0,2.0,"('FAI0288',)",79.0,14.0,77.0,2.0,"('M130_2',)"
1199,BM2L1C1F11,RR,7,35,0.0,0.0%,35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1202,BM2L1C1F12,BU,33,61,59.0,96.7%,61.0,11.0,59.0,2.0,0,0.0,0.0,0.0,0.0,0,61.0,14.0,59.0,2.0,"('P63_3', 'P63_4')"
1204,BM2L1C1F12,LR,16,43,42.0,97.7%,43.0,14.0,42.0,1.0,0,0.0,0.0,0.0,0.0,0,43.0,14.0,42.0,1.0,"('FAI0780',)"
1206,BM2L1C1F12,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1208,BM2L1C1F13,BU,33,237,233.0,98.3%,237.0,14.0,233.0,4.0,0,237.0,14.0,233.0,4.0,"('P66', 'P63_2')",237.0,14.0,233.0,4.0,"('P63_3', 'P63_4')"
1211,BM2L1C1F13,LR,16,140,137.0,97.9%,140.0,14.0,137.0,3.0,"('M130_2',)",140.0,14.0,137.0,3.0,"('M130_2',)",140.0,14.0,137.0,3.0,"('M130_2',)"
1214,BM2L1C1F13,RR,7,63,0.0,0.0%,63.0,4.0,0.0,63.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",63.0,4.0,0.0,63.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",63.0,4.0,0.0,63.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1217,BM2L1C1F14,BU,33,99,99.0,100.0%,99.0,13.0,99.0,0.0,0,99.0,13.0,99.0,0.0,0,99.0,11.0,99.0,0.0,0
1220,BM2L1C1F14,LR,16,69,68.0,98.6%,69.0,14.0,68.0,1.0,0,69.0,14.0,68.0,1.0,0,69.0,12.0,68.0,1.0,"('FAI0780',)"
1223,BM2L1C1F14,RR,7,35,0.0,0.0%,35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1226,BM2L1C1F15,BU,33,172,172.0,100.0%,172.0,14.0,172.0,0.0,0,172.0,13.0,172.0,0.0,0,172.0,11.0,172.0,0.0,0
1229,BM2L1C1F15,LR,16,71,70.0,98.6%,71.0,14.0,70.0,1.0,"('M130_2',)",71.0,14.0,70.0,1.0,0,71.0,12.0,70.0,1.0,0
1232,BM2L1C1F15,RR,7,42,0.0,0.0%,42.0,4.0,0.0,42.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",42.0,4.0,0.0,42.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",42.0,4.0,0.0,42.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1235,BM2L1C1F16,BU,33,93,93.0,100.0%,93.0,12.0,93.0,0.0,0,93.0,13.0,93.0,0.0,0,93.0,11.0,93.0,0.0,0
1238,BM2L1C1F16,LR,16,43,43.0,100.0%,43.0,14.0,43.0,0.0,0,43.0,14.0,43.0,0.0,0,43.0,12.0,43.0,0.0,0
1241,BM2L1C1F16,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1244,BM2L1C1F17,BU,33,94,94.0,100.0%,94.0,13.0,94.0,0.0,0,94.0,14.0,94.0,0.0,0,94.0,11.0,94.0,0.0,0
1247,BM2L1C1F17,LR,16,58,57.0,98.3%,58.0,14.0,57.0,1.0,0,58.0,14.0,57.0,1.0,"('M130_2',)",58.0,12.0,57.0,1.0,0
1250,BM2L1C1F17,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1253,BM2L1C1F18,BU,33,103,102.0,99.0%,103.0,13.0,102.0,1.0,0,103.0,14.0,102.0,1.0,"('P63_4',)",103.0,11.0,102.0,1.0,0
1256,BM2L1C1F18,LR,16,56,56.0,100.0%,56.0,14.0,56.0,0.0,0,56.0,14.0,56.0,0.0,0,56.0,12.0,56.0,0.0,0
1259,BM2L1C1F18,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1262,BM2L1C1F19,BU,33,103,103.0,100.0%,103.0,14.0,103.0,0.0,0,103.0,13.0,103.0,0.0,0,103.0,11.0,103.0,0.0,0
1265,BM2L1C1F19,LR,16,71,70.0,98.6%,71.0,14.0,70.0,1.0,"('M130_2',)",71.0,14.0,70.0,1.0,0,71.0,12.0,70.0,1.0,0
